1st Year,,,,,
Sl No,Topic,Sub-Topic/ POA,Change,,
1,Segregation Test,AI Evaluation for Essays,New Addition,,
,,"Spoken Skills, Grammar & Writing Skills Assessment",Increased Complexity,,
,,Critical Thinking & Problem Solving Test to be included,New Addition,Weightage to be looked at,The programme has been enhanced to reflect the evolving requirements and rising standards of scholars each year.
,,,,,
2,Interactive Sessions,In Session Caselet Analysis & Discussion,New Addition,,
,,Current Affairs,New Addition,,
,,Video Analysis & Email Writing,No change,,
,,"Group A:2
Group B:3
Group C: 4",Increased Complexity & revised lesson plans,,
,,,,,
3,Reading Assignment,1 Reading Assignment,No change,,
,,,,,
4,Email Assignment,DIY: Common Topics,New Addition,,
,,Email Assignment,New Addition,,
,,AI Evaluation,New Addition,,
,,,,,
5,"1 AI Interactive
Masterclass",Common Grammatical Errors,New Addition,,
,,Brief handbook on Grammar rules,New Addition,,
,,Sessions for Group C,New Addition,,
,,,,,
6,WhatsApp Activities,Removed & replaced with Masterclass & handbook,Removed,,
,,,,,
7,Annual LinkedIn Post,,No change,,
,,,,,
8,Year End Evaluation,AI Evaluation for Essays,New Addition,,
,,Complex Grammar & Essay Questions,Increased Complexity,,
,,Critical Thinking & Problem Solving Test to be included,New Addition,,
